celcius,rh2m,heatIndex
24.41355263,70.54,22.97510611
24.41675676,72.34,23.06602177
24.43625,78.64,23.3923334
24.44185714,68.74,22.91375223
24.48661765,69.07,22.97187548
24.51393939,64.83,22.7896289
24.55578125,69.83,23.07408541
24.54854839,78.01,23.46890323
24.5685,74.38,23.30961006
24.57517241,81.05,23.64377338
24.54660714,66.56,22.90493006
24.57092593,70.88,23.1399152
24.6025,74.48,23.3467884
24.6212,71.12,23.19907949
24.72291667,74.65,23.46946479
24.74630435,71.18,23.31992737
24.76340909,72.88,23.42024178
24.77380952,73.16,23.44395143
24.78875,61.86,22.89786415
24.69684211,72.18,23.32270981
24.76972222,75.8,23.57086767
24.71588235,70.44,23.25467939
24.741875,73.04,23.4077931
24.77,78.91,23.7252014
24.70535714,74.56,23.44834857
24.55384615,66.97,22.93181908
24.56,74.93,23.3285616
24.60590909,76.64,23.45632102
24.577,72.35,23.2178919
24.52888889,72.44,23.17685653
24.5425,67.96,22.9698166
24.705,72.31,23.3368371
24.79333333,77.03,23.6543276
24.791,69.61,23.28420302
24.59875,52.45,22.25940888
24.79666667,75.27,23.57022353
24.6425,76.38,23.4783883
24.2,68.97,22.698148
